,0,1,2
0,JavaScript Interviewing for Python Engineers,Tuesday; FEBRUARY 16; 2021,6:00pm - 7:00pm CST
1,Pave Your Pathway: Data Career Paths,Wednesday; FEBRUARY 17; 2021,5:00pm - 6:30pm CST
2,One Epic Networking Prep Session,Wednesday; FEBRUARY 17; 2021,7:00pm - 8:00pm PST
3,Technology Solutions Over the Years,Thursday; FEBRUARY 18; 2021,12:00pm - 1:00pm MST
4,Google Recruitment Webinar and Panel Discussion,Thursday; FEBRUARY 18; 2021,12:00pm - 1:00pm PST
5,Real Talk: Recruiting Brief - Women Candidates,Thursday; FEBRUARY 18; 2021,5:00pm - 6:00pm CST
6,Industry Insights: Behind the Scenes of Employer Referrals,Monday; FEBRUARY 22; 2021,6:00pm - 7:00pm CST
7,The Ultimate Interview Prep Session,Monday; FEBRUARY 22; 2021,6:30pm - 8:00pm PST
8,Technology Project Management - Interview Prep,Tuesday; FEBRUARY 23; 2021,5:00pm - 6:00pm CST
9,FDM Group Recruiting Webinar,Wednesday; FEBRUARY 24; 2021,12:00pm - 1:00pm EST
10,Data Analytics - Interview Prep,Wednesday; FEBRUARY 24; 2021,4:00pm - 5:00pm PST
11,Pave Your Pathway: UX/UI Career Paths,Thursday; FEBRUARY 25; 2021,6:00pm - 7:30pm PST
12,Tech Talk: Careers in Coding,Friday; FEBRUARY 26; 2021,1:00pm - 2:00pm EST
13,Design Patterns for JavaScript,Monday; MARCH 01; 2021,4:00pm - 5:00pm PST
14,Technology Associate Careers with Infosys,Tuesday; MARCH 02; 2021,1:00pm - 2:00pm EST
15,Start HERE: Intro to CS,Tuesday; MARCH 02; 2021,5:00pm - 6:00pm PST
16,Beating the Imposter Syndrome: Conquer Your Search with Confidence,Wednesday; MARCH 03; 2021,5:00pm - 6:00pm CST
17,MongoDB: Your Free On-demand Courses!,Thursday; MARCH 04; 2021,12:00pm - 1:00pm EST
18,Pave Your Pathway: Web Dev + Cybersecurity Career Paths,Thursday; MARCH 04; 2021,6:00pm - 7:30pm CST
19,AI Consultancy Careers with Pandata,Friday; MARCH 05; 2021,12:00pm - 1:00pm EST
20,Strategies for Todayâ€™s Job Search,Monday; MARCH 08; 2021,5:00pm - 6:00pm PST
21,Talking Tech for the FinTech Industry,Tuesday; MARCH 09; 2021,5:00pm - 6:00pm CST
22,Real Talk: Overcoming Age Bias in Your Job Search,Wednesday; MARCH 10; 2021,6:00pm - 7:00pm CST
23,The Ultimate Interview Prep Session,Thursday; MARCH 11; 2021,5:00pm - 6:30pm CST
24,Make Your Time Count - Working With Your Career Director,Monday; MARCH 15; 2021,5:00pm - 6:00pm CDT
25,Talking Tech,Tuesday; MARCH 16; 2021,4:00pm - 5:00pm PDT
26,Hack Your Resume,Thursday; MARCH 18; 2021,5:00pm - 6:00pm PDT
27,The Ultimate Interview Prep Session,Monday; MARCH 22; 2021,5:30pm - 7:00pm PDT
28,Front-End Developm ent Frameworks: React vs. Angular vs. Vue Interview,Tuesday; MARCH 23; 2021,5:30pm - 6:30pm CDT
29,Web Dev - Interview Prep,Wednesday; MARCH 24; 2021,5:00pm - 6:00pm CDT
30,Pave Your Pathway: Digital Marketing + UXUI Career Paths,Thursday; MARCH 25; 2021,5:30pm - 7:00pm PDT
31,Can you handle the truth? Debunking Job Search Myths,Monday; MARCH 29; 2021,4:00pm - 5:00pm PDT
32,Cyber - Interview Prep,Tuesday; MARCH 30; 2021,5:00pm - 6:00pm CDT
33,Big O Notation & Algorithm Efficiency,Wednesday; MARCH 31; 2021,5:00pm - 6:00pm CDT
