Career Services Online Events
Hacking the Whiteboard Interview,Monday,JANUARY-11-2021,5:00pm- 6:00pm,PST
Virtual Tech Talk: Apply Your Design Skills Beyond the Web,Tuesday,JANUARY-12-2021,12:00pm- 1:00pm,PST
Strategies for Today’s Job Search,Tuesday,JANUARY-12-2021,6:00pm- 7:00pm,CST
Beating the Imposter Syndrome: Conquer Your Search with Confidence,Tuesday,JANUARY-12-2021,6:00pm- 7:00pm,PST
Real Talk: Addressing Employment Gaps in Your Experience,Wednesday,JANUARY-13-2021,5:00pm- 6:00pm,PST
Women in Tech; Supporting Women During Covid-19,Thursday,JANUARY-14-2021,12:00pm- 1:00pm,PST
Pave Your Pathway: FinTech Career Paths,Thursday,JANUARY-14-2021,5:00pm- 6:30pm,PST
Career Services Demo Day Ask Me Anything (AMA),Friday,JANUARY-15-2021,1:00pm- 1:30pm,EST
Explore Life @ Twilio and TwilioQuest,Tuesday,JANUARY-19-2021,11:30am - 12:00pm,PST
Breaking Down the Online Technical Interview,Tuesday,JANUARY-19-2021,5:00pm- 6:00pm,CST
Make Your Time Count: Working With Your Career Director,Thursday,JANUARY-21-2021,5:00pm- 6:00pm,PST
Digital Marketing - Interview Prep,Thursday,JANUARY-21-2021,7:00pm- 8:00pm,PST
The Ultimate Interview Prep Session,Monday,JANUARY-25-2021,5:30pm- 7:00pm,PST
Cloud Computing - Interview Prep,Tuesday,JANUARY-26-2021,6:00pm- 7:00pm,PST
Pave Your Pathway: Digital Marketing Career Paths,Wednesday,JANUARY-27-2021,6:00pm- 7:30pm,CST
Virtual Tech Talk: Microservices for Enterprise Applications - Coding; Data; and Project Management,Thursday,JANUARY-28-2021,11:00am - 12:00pm,CST
Cyber - Interview Prep,Thursday,JANUARY-28-2021,5:00pm- 6:00pm,CST
Pave Your Pathway: Web Dev Career Paths,Thursday,JANUARY-28-2021,7:00pm- 8:30pm,CST
Cyber - Interview Prep,Monday,FEBRUARY-01-2021,4:00pm- 5:00pm,PST
Hack Your Cover Letter,Monday,FEBRUARY-01-2021,6:00pm- 7:00pm,PST
Intro to DevOps Interview Prep,Tuesday,FEBRUARY-02-2021,5:00pm- 6:00pm,CST
Start HERE: Intro to Career Services,Wednesday,FEBRUARY-03-2021,6:00pm- 7:00pm,CST
Pave Your Pathway: Cyber Security Career Paths,Thursday,FEBRUARY-04-2021,6:00pm- 7:30pm,PST
UX/UI — Interview Prep,Monday,FEBRUARY-08-2021,5:00pm- 6:00pm,PST
The Ultimate Interview Prep Session,Tuesday,FEBRUARY-09-2021,5:30pm- 7:00pm,CST
Salary Negotiation - Know Your Worth,Wednesday,FEBRUARY-10-2021,5:00pm- 6:30pm,CST
Intro to Agile Software Development - Interview Prep,Wednesday,FEBRUARY-10-2021,5:00pm- 6:00pm,PST
Launch Your Job Search Today,Thursday,FEBRUARY-11-2021,7:00pm- 8:00pm,CST
JavaScript Interviewing for Python Engineers,Tuesday,FEBRUARY-16-2021,6:00pm- 7:00pm,CST
Pave Your Pathway: Data Career Paths,Wednesday,FEBRUARY-17-2021,5:00pm- 6:30pm,CST
One Epic Networking Prep Session,Wednesday,FEBRUARY-17-2021,7:00pm- 8:00pm,PST
Real Talk: Recruiting Brief - Women Candidates,Thursday,FEBRUARY-18-2021,5:00pm- 6:00pm,CST
Industry Insights: Behind the Scenes of Employer Referrals,Monday,FEBRUARY-22-2021,6:00pm- 7:00pm,CST
The Ultimate Interview Prep Session,Monday,FEBRUARY-22-2021,6:30pm- 8:00pm,PST
Technology Project Management - Interview Prep,Tuesday,FEBRUARY-23-2021,5:00pm- 6:00pm,CST
Data Analytics - Interview Prep,Wednesday,FEBRUARY-24-2021,4:00pm- 5:00pm,PST
Pave Your Pathway: UX/UI Career Paths,Thursday,FEBRUARY-25-2021,6:00pm- 7:30pm,PST
,,,,,,,-RSVP,--,---,; ===
